bus_stop_id	service_names	service_count
1	1, 46	3
2	1, 46	2
3	10, 28	2
4	10, 28	2
5	25, 26, 28, 29, 30	5
6	12, 29, 38	3
7	12, 29, 38	3
10	14, 26, 27, 60	4
11	1, 14, 26, 27, 60	5
12	10, 18, 32	3
13	10, 18, 32	3
14	10, 18, 32	3
15	10, 18, 32	3
16	10, 12, 18, 32	4
17	10, 12, 18, 32	4
18	17, 22, 54	3
19	17, 22, 54	3
20	17, 22	2
21	17, 22	2
24	17, 23, 61	3
25	16, 17, 20, 23, 61	5
30	22, 61	2
31	22, 61	2
32	16, 20, 23	3
33	16, 20, 23	3
35	15	1
36	28, 36	2
37	28, 36	2
38	10, 15, 16, 19, 28, 36	6
39	35, 37	2
40	35, 37, 6	3
41	21, 39, 40	3
42	21, 39, 40	3
43	21, 39, 40	3
44	21, 39, 40	3
45	11, 35, 37, 41	4
46	11, 35, 37, 41	4
47	17, 42, 44	3
48	17, 42, 44	3
49	37, 41, 44	3
50	37, 41, 44	3
51	35, 36	2
52	35, 36	2
55	35, 36	2
56	35, 36	2
57	37, 41, 44	3
58	37, 41, 44	3
59	37, 41, 44	3
60	37, 41, 44	3
61	35, 36	2
62	35, 36	2
63	37, 41, 44	3
64	37, 41, 44	3
65	35, 36	2
66	35, 36	2
67	39, 44	2
68	39, 44	2
69	21, 39, 40	3
70	21, 39, 40	3
71	39, 44	2
72	39, 44	2
73	17, 42, 44	3
74	17, 42, 44	3
77	40	1
78	40	1
79	17, 21	2
80	17, 21	2
83	40, 42	2
84	40, 42	2
85	40, 42	2
86	40, 42	2
87	14, 19, 23, 30, 40, 41	6
88	14, 19, 23, 30, 40, 41	6
89	14, 19, 23, 30, 40, 41	6
90	14, 19, 23, 30, 40, 41	6
91	14, 19, 23, 30, 40, 41	6
92	14, 19, 23, 30, 40, 41	6
93	22, 59	2
94	22, 59	2
95	22, 59	2
96	22, 59	2
97	22, 59	2
98	22, 59	2
99	22, 59	2
100	22, 59	2
101	14, 23, 30, 40, 41	5
102	14, 23, 30, 40, 41	5
103	14, 19, 23, 30, 40, 41	6
104	14, 19, 23, 30, 40, 41	6
108	56	1
109	22, 59	2
110	22, 59	2
111	57, 58	2
112	57	1
113	56	1
114	14, 19, 23, 30, 40, 41	6
115	14, 19, 22, 23, 30, 40, 41, 56, 57	9
117	21, 35, 37, 39	4
118	21, 35, 37, 39	4
119	56, 57	2
121	37, 39, 57	3
122	21, 58	2
123	35, 56, 57	3
124	58	1
125	21, 35, 37, 39	4
126	21, 35, 37, 39	4
127	58	1
129	56, 57	2
130	58	1
131	57	1
132	56, 57	2
133	58	1
134	57	1
136	57, 58	2
137	58	1
138	58	1
139	56	1
141	12, 28, 29, 36, 61, 7	6
143	57	1
144	12, 28, 29, 36, 61	5
145	4, 58, 7	3
146	4, 57, 7	3
147	56	1
148	4, 58, 7	3
149	4, 57, 7	3
151	56	1
152	4, 57, 7	3
154	34	1
155	56	1
156	56	1
157	34, 4, 57	3
158	4, 58	2
159	34, 4, 57	3
160	7	1
161	31, 56, 58	3
162	31, 34, 56, 57, 58	5
163	57, 58	2
165	58	1
166	34, 57	2
167	24, 26, 34, 57	4
168	24, 26, 58	3
172	12, 26, 29, 30	4
173	12, 26, 29, 30	4
174	56	1
175	4, 58	2
176	56	1
